NO_OF_FRAMES	2308
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:26:18	4784.01216723
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Hand left	Hand top	Shoulder	Hand right	Back left	Elbow	Back right	Back top	Index	Middle	Thumb
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Hand left X	Hand left Y	Hand left Z	Hand top X	Hand top Y	Hand top Z	Shoulder X	Shoulder Y	Shoulder Z	Hand right X	Hand right Y	Hand right Z	Back left X	Back left Y	Back left Z	Elbow X	Elbow Y	Elbow Z	Back right X	Back right Y	Back right Z	Back top X	Back top Y	Back top Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Thumb X	Thumb Y	Thumb Z	
1459	24.30000	514.725	-777.465	192.580	606.250	-743.399	191.078	490.253	-303.801	105.392	467.787	-333.024	138.381	481.535	3.164	89.041	462.130	-312.904	91.790	749.976	139.154	116.798	428.487	-142.109	-39.285	722.473	144.705	114.227	714.085	136.915	170.592	474.425	-414.809	201.775	459.254	-427.034	189.979	566.320	-386.707	157.698
1460	24.31667	514.748	-777.470	192.593	606.246	-743.405	191.060	493.189	-315.548	125.127	471.296	-345.536	157.906	482.162	-2.084	93.605	464.832	-324.365	111.845	749.774	140.233	116.494	429.521	-157.121	-25.065	722.195	145.670	114.021	714.052	137.822	170.573	476.295	-426.544	221.202	461.071	-440.048	209.921	572.233	-397.236	175.652
1461	24.33333	514.799	-777.483	192.549	606.236	-743.422	191.056	496.324	-327.682	144.159	474.798	-358.721	176.247	482.837	-7.036	98.560	467.551	-335.763	131.204	749.511	141.324	116.184	431.088	-171.294	-10.232	721.923	146.609	113.791	714.031	138.813	170.387	478.192	-440.532	237.782	462.567	-453.427	227.051	577.937	-409.067	191.846
1462	24.35000	514.838	-777.304	192.641	606.253	-743.370	191.079	499.704	-339.698	162.733	478.422	-372.238	193.500	483.651	-11.904	103.981	470.608	-346.837	149.812	749.240	142.357	115.839	433.099	-184.422	4.902	721.604	147.547	113.573	713.929	139.769	170.176	479.782	-457.156	251.302	463.388	-467.726	241.491	584.247	-421.945	205.966
1463	24.36667	514.817	-777.409	192.593	606.257	-743.394	191.067	503.191	-351.698	180.271	482.075	-385.852	209.496	484.556	-16.393	109.692	473.691	-357.647	167.563	748.818	143.370	115.517	435.507	-196.337	20.164	721.144	148.416	113.323	713.706	140.653	169.993	480.574	-472.274	263.793	463.969	-480.610	254.611	589.796	-434.848	218.475
1464	24.38333	514.749	-777.464	192.586	606.245	-743.409	191.063	506.650	-364.282	196.426	485.449	-399.320	224.030	485.660	-20.476	115.551	477.054	-369.387	183.683	748.248	144.363	115.167	438.222	-207.053	35.387	720.536	149.216	113.164	713.415	141.514	169.827	481.761	-485.710	276.664	465.371	-494.999	266.241	595.068	-447.413	230.189
1465	24.40000	514.929	-777.261	192.661	606.249	-743.393	191.066	509.694	-376.256	211.540	488.498	-412.627	237.459	486.842	-24.112	121.468	480.045	-380.723	198.635	747.632	145.337	114.897	441.198	-216.852	50.548	719.888	150.017	112.949	713.076	142.314	169.730	483.417	-499.490	287.976	467.099	-509.566	276.194	599.597	-459.561	242.009
1466	24.41667	514.724	-777.523	192.563	606.147	-743.414	190.678	512.838	-388.300	225.763	491.575	-425.896	249.782	488.142	-27.268	127.314	483.084	-391.909	212.807	747.052	146.247	114.596	444.132	-225.444	66.269	719.278	150.767	112.799	712.755	143.085	169.563	485.661	-514.916	295.274	468.877	-525.106	283.010	603.406	-472.088	252.959
1467	24.43333	514.778	-777.496	192.555	606.145	-743.400	190.658	516.273	-400.546	238.872	494.824	-439.426	260.811	489.639	-30.033	133.103	486.241	-403.016	226.208	746.459	147.106	114.232	448.228	-233.589	81.155	718.651	151.471	112.571	712.478	143.861	169.432	486.521	-531.550	299.838	469.938	-540.922	287.148	606.977	-486.068	260.987
1468	24.45000	514.869	-777.299	192.668	606.139	-743.398	190.659	519.627	-413.125	250.618	497.909	-453.037	270.276	491.412	-32.552	138.902	489.450	-414.232	238.333	745.928	147.945	113.898	452.206	-240.394	96.271	718.082	152.127	112.357	712.216	144.625	169.220	485.306	-548.008	301.685	470.213	-558.100	288.890	610.357	-500.693	265.955
