NO_OF_FRAMES	2734
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:51:16	6281.31358754
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Back top	Back right	Back left	Box back	Box left
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1546	25.75000	430.618	228.066	159.880	371.677	230.519	-64.814	329.226	50.811	-375.334	336.279	91.018	-344.858	348.768	63.819	-331.893	422.788	6.927	-409.236	360.515	6.451	-464.691	363.294	29.742	-483.893	664.273	259.259	223.720	665.610	273.806	168.136	691.866	263.791	165.950	420.948	-798.506	193.214	513.957	-756.954	182.740
1547	25.76667	429.445	226.173	161.072	369.165	229.015	-63.169	327.499	39.822	-367.229	334.607	81.160	-338.378	348.077	53.477	-322.290	421.845	-5.418	-399.109	358.123	-7.463	-455.291	360.233	15.052	-475.001	663.190	258.977	223.728	664.420	273.398	168.064	690.780	263.637	165.996	420.733	-798.847	193.063	513.971	-756.916	182.733
1548	25.78333	427.926	224.696	162.678	366.570	227.168	-61.328	325.644	26.850	-357.689	332.732	69.465	-330.723	346.455	42.543	-313.704	421.819	-18.468	-388.398	356.255	-23.832	-443.823	357.349	-2.474	-463.845	662.251	258.800	223.681	663.323	273.014	168.012	689.832	263.542	165.944	420.923	-798.537	193.190	513.977	-756.904	182.739
1549	25.80000	426.985	222.940	163.859	363.795	224.812	-59.263	323.745	12.124	-346.375	330.793	56.027	-321.582	344.089	30.962	-305.511	422.025	-34.643	-373.001	354.338	-42.377	-430.111	355.478	-22.342	-450.733	661.339	258.653	223.619	662.276	272.662	167.915	688.888	263.430	165.920	420.887	-798.661	193.140	513.982	-756.867	182.754
1550	25.81667	426.150	221.125	164.952	360.899	221.731	-57.107	321.831	-4.333	-333.033	328.967	40.830	-310.623	342.470	16.782	-293.465	422.090	-52.032	-356.342	352.176	-63.185	-413.966	354.918	-46.125	-438.671	660.534	258.496	223.580	661.349	272.357	167.789	688.005	263.359	165.868	420.739	-798.858	193.068	513.958	-756.941	182.731
1551	25.83333	425.335	219.207	166.011	357.686	217.767	-54.805	320.085	-22.336	-317.301	326.405	24.499	-297.939	341.197	1.249	-279.395	421.168	-70.837	-338.576	350.064	-87.819	-395.843	351.440	-70.345	-420.855	659.738	258.427	223.530	660.434	272.144	167.735	687.227	263.427	165.813	420.911	-798.585	193.160	513.952	-756.903	182.738
1552	25.85000	424.485	217.140	167.121	354.190	212.814	-52.300	318.040	-42.080	-298.245	325.519	6.340	-282.748	340.066	-15.169	-263.116	420.738	-90.531	-318.064	346.854	-112.111	-373.786	347.776	-96.096	-399.948	658.897	258.417	223.477	659.552	272.003	167.694	686.456	263.518	165.858	420.915	-798.578	193.161	513.964	-756.903	182.744
1553	25.86667	423.681	214.918	168.192	350.790	206.861	-49.778	316.844	-62.295	-277.986	324.251	-12.784	-266.073	339.443	-32.814	-245.390	421.259	-110.757	-295.115	344.135	-137.294	-349.189	344.643	-122.963	-376.598	658.090	258.472	223.429	658.650	271.899	167.582	685.665	263.685	165.854	420.892	-798.596	193.163	513.983	-756.865	182.752
1554	25.88333	422.965	212.497	169.101	347.411	199.918	-47.076	316.095	-82.992	-256.169	323.279	-32.730	-247.785	339.010	-51.168	-225.974	422.235	-131.154	-270.335	342.320	-162.624	-322.330	342.213	-150.266	-350.900	657.290	258.602	223.371	657.493	271.658	167.329	684.257	263.513	165.363	420.920	-798.591	193.164	513.965	-756.897	182.733
1555	25.90000	422.251	209.781	169.870	343.954	192.027	-44.283	316.295	-103.854	-233.052	322.518	-53.143	-227.901	338.741	-69.864	-205.150	423.579	-151.405	-243.346	341.532	-187.894	-293.374	340.871	-177.594	-322.981	656.278	258.606	223.144	656.514	271.630	167.190	683.403	263.679	165.241	420.924	-798.580	193.181	513.964	-756.871	182.741
